"Fee Type","No. of payments","Payment amount","No. of refunds","Refund amount","Initial fee","Free processing","Total fees (incl. taxes)","Cost of acceptance","Total collected"
"Card processing fees","1","$1.00","0","-","($0.33)","-","($0.33)","33%","$1.00"
"Total","1","$1.00","0","$0.00","($0.33)","$0.00","($0.33)","33%","$1.00"

